State,Provided,Enhanced
Exec,731,30165
Sales,3016,8775
Marketing,1992,7810
Finance,396,5687
Legal,107,7949
Admin,349,4328
HR,418,3799
Ops,315,3402
Strategy,324,3195
Other,8979,51698
